iter	Passed	Remaining
0	2	2038
1	3	1822
2	5	1748
3	6	1715
4	8	1714
5	10	1685
6	11	1693
7	13	1685
8	15	1674
9	16	1645
10	18	1623
11	19	1607
12	21	1598
13	22	1591
14	24	1595
15	25	1596
16	27	1598
17	29	1610
18	31	1608
19	33	1619
20	34	1618
21	36	1638
22	38	1628
23	40	1632
24	41	1624
25	43	1611
26	44	1608
27	46	1627
28	48	1630
29	50	1631
30	52	1629
31	54	1634
32	55	1635
33	57	1642
34	59	1643
35	61	1658
36	63	1654
37	65	1656
38	67	1654
39	68	1654
40	70	1653
41	73	1666
42	74	1660
43	76	1660
44	78	1655
45	79	1651
46	81	1659
47	83	1655
48	85	1654
49	86	1649
50	88	1652
51	90	1653
52	92	1657
53	94	1663
54	96	1661
55	98	1661
56	100	1657
57	102	1661
58	104	1669
59	106	1670
60	109	1687
61	111	1688
62	113	1686
63	115	1694
64	118	1699
65	119	1695
66	121	1691
67	122	1685
68	125	1689
69	127	1688
70	128	1686
71	131	1691
72	133	1694
73	135	1690
74	137	1692
75	139	1693
76	141	1697
77	143	1701
78	145	1699
79	147	1694
80	148	1689
81	150	1686
82	152	1681
83	153	1677
84	155	1672
85	157	1669
86	158	1666
87	161	1669
88	162	1665
89	164	1661
90	166	1661
91	167	1655
92	169	1654
93	171	1650
94	172	1647
95	174	1643
96	176	1639
97	178	1640
98	179	1635
99	181	1631
100	183	1630
101	185	1628
102	186	1628
103	188	1625
104	190	1623
105	192	1622
106	194	1619
107	195	1614
108	197	1612
109	199	1613
110	201	1612
111	203	1612
112	204	1607
113	206	1603
114	208	1604
115	210	1601
116	211	1598
117	213	1594
118	215	1592
119	216	1590
120	218	1587
121	220	1587
122	222	1583
123	223	1580
124	225	1577
125	227	1575
126	228	1573
127	230	1569
128	232	1568
129	234	1568
130	236	1566
131	238	1565
132	240	1565
133	241	1563
134	243	1560
135	245	1556
136	246	1555
137	248	1553
138	250	1549
139	251	1547
140	253	1543
141	254	1540
142	257	1540
143	258	1538
144	260	1538
145	262	1537
146	264	1537
147	266	1534
148	268	1530
149	269	1528
150	271	1525
151	273	1523
152	274	1521
153	276	1519
154	278	1518
155	280	1516
156	282	1515
157	283	1512
158	285	1509
159	287	1507
160	290	1512
161	292	1512
162	294	1510
163	296	1510
164	298	1509
165	300	1508
166	302	1506
167	304	1507
168	306	1504
169	308	1503
170	309	1500
171	311	1498
172	313	1497
173	315	1498
174	318	1499
175	320	1498
176	321	1496
177	323	1495
178	325	1494
179	327	1491
180	329	1489
181	330	1486
182	332	1484
183	334	1482
184	336	1482
185	337	1479
186	339	1476
187	341	1473
188	342	1469
189	344	1467
190	346	1465
191	348	1465
192	350	1467
193	353	1466
194	354	1465
195	356	1462
196	358	1459
197	359	1456
198	361	1453
199	362	1451
200	364	1448
201	366	1446
202	368	1445
203	369	1443
204	371	1441
205	373	1439
206	375	1437
207	376	1435
208	378	1432
209	380	1431
210	382	1428
211	383	1427
212	386	1426
213	387	1423
214	389	1421
215	390	1418
216	392	1417
217	394	1415
